12;4;505
12;8;264
12;1;230
21;11;548
15;11;974
14;7;960
28;8;202
25;10;671
24;11;880
24;4;623
22;1;410
5;11;747
21;9;231
21;7;381
6;1;508
7;7;304
25;12;434
2;2;892
25;11;677
8;11;579
22;10;503
28;11;505
2;4;471
15;9;443
20;5;291
24;2;771
27;4;918
7;9;619
11;11;749
15;5;631
28;5;379
12;10;343
17;3;746
13;5;239
18;7;904
27;8;861
21;12;530
25;1;844
7;9;403
6;10;924
1;10;913
19;6;245
3;4;405
3;8;476
11;1;734
5;3;423
17;9;879
6;1;931
28;4;905
3;4;812
14;3;821
5;6;382
8;10;214
20;6;607
19;2;228
4;1;374
16;12;744
6;4;699
16;6;860
21;7;598
16;6;284
4;12;596
28;6;786
16;3;947
1;7;665
7;8;577
1;7;855
14;12;444
13;4;923
2;3;976
11;9;919
11;5;634
22;3;488
27;7;862
17;6;515
4;9;706
26;3;805
28;6;659
2;9;569
3;2;599
13;12;999
10;4;821
2;5;463
3;12;700
9;3;613
1;11;722
24;10;637
28;7;952
2;12;739
7;8;354
26;8;332
5;12;624
8;3;958
9;12;874
10;5;600
27;1;455
20;12;696
4;11;603
7;12;532
10;2;633
22;4;779
23;2;897
22;7;228
1;4;619
5;6;775
11;3;787
24;2;229
9;5;403
15;2;241
21;1;509
7;9;634
13;4;443
16;11;312
22;8;287
7;7;684
5;5;615
4;11;425
13;1;429
28;3;212
28;10;997
13;4;944
13;9;402
7;12;248
16;6;889
11;7;624
20;11;803
2;12;903
28;11;445
20;6;402
3;7;473
9;6;384
15;9;234
22;5;210
16;9;295
