15;9;271
19;6;635
13;1;237
30;8;511
2;6;253
29;2;147
10;7;224
14;3;511
30;3;545
10;8;409
13;1;618
5;1;431
15;8;546
5;2;771
23;6;561
1;3;180
7;7;146
19;8;959
14;1;128
24;2;261
11;3;740
7;12;336
18;8;977
23;10;993
12;11;356
14;9;263
1;9;150
5;7;285
14;8;741
18;11;990
17;8;338
8;1;960
19;12;728
10;12;277
20;12;169
20;5;635
21;6;731
16;5;531
4;8;790
1;2;130
12;4;850
11;8;874
8;12;749
16;7;277
18;1;525
2;12;679
29;8;840
22;2;244
26;4;721
1;10;653
7;6;135
15;8;937
25;7;167
30;2;496
30;5;836
12;6;600
21;6;298
5;3;889
24;6;558
17;2;127
1;4;130
22;4;692
27;8;896
26;3;650
20;1;392
17;8;550
2;9;522
24;10;970
5;10;234
5;6;551
6;4;913
5;3;783
13;11;709
8;10;941
24;11;278
